City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,tamandare,-8.7597,-35.1047,23.92,87,39,2.59,BR,1688958147
340,kavaratti,10.5669,72.642,28.09,76,100,7.59,IN,1688958147
341,new norfolk,-42.7826,147.0587,14.4,71,97,4.09,AU,1688958148
342,tenenkou,14.4572,-4.9169,31.73,41,65,1.57,ML,1688958148
343,rumbek,6.802,29.6912,21.22,90,80,0.88,SS,1688958148
344,dera bugti,29.0307,69.151,33.5,45,1,2.73,PK,1688958149
345,broken hill,-31.95,141.4333,14.2,53,0,2.09,AU,1688958149
346,la passe,45.5549,-0.8967,18.13,89,0,1.76,FR,1688958149
347,wailua homesteads,22.0669,-159.378,25.48,68,66,2.68,US,1688958149
348,auras,26.9167,80.5167,28.97,59,74,2.75,IN,1688958150
349,grand baie,-20.0182,57.5802,22.26,77,1,6.43,MU,1688958150
350,darwin,-12.4611,130.8418,29.47,52,40,6.17,AU,1688958087
351,mariehamn,60.0973,19.9348,14.9,100,0,1.54,AX,1688958151
352,polyarnyy,69.1989,33.4478,7.61,76,20,1.67,RU,1688958151
353,choele choel,-39.2667,-65.6833,7.36,46,21,5.18,AR,1688958151
354,changling,44.2653,124.0005,25.51,68,87,4.45,CN,1688958151
355,saudarkrokur,65.7461,-19.6394,11.09,68,93,1.35,IS,1688958152
356,padang,-0.9492,100.3543,26.03,88,100,0.89,ID,1688957947
357,lagos,6.5833,3.75,25.18,95,100,1.36,NG,1688957742
358,tamanrasset,22.785,5.5228,26.95,13,2,4.12,DZ,1688958152
359,ripley,53.0333,-1.4,13.43,94,53,0.89,GB,1688958153
360,copiapo,-27.3667,-70.3333,11.83,59,100,0.37,CL,1688957968
361,daloa,6.8774,-6.4502,21.59,99,100,1.48,CI,1688958080
362,azemmour,33.2895,-8.3425,22.18,84,1,5.08,MA,1688958153
363,murghob,38.1702,73.9667,10.04,35,100,1.38,TJ,1688958153
